2;7.157325
2;4.409391
4;4.288765
4;3.880433
6;4.316980
6;4.062492
8;4.440836
8;4.107491
2;0.249078
2;0.223563
4;0.245941
4;0.232342
6;0.114572
6;0.133671
8;0.094253
8;0.086438
2;0.220368
2;0.236920
4;0.118815
4;0.225826
6;0.109558
6;0.118562
8;0.125076
8;0.078979
2;0.139845
2;0.306735
4;0.301299
4;0.155861
6;0.163157
6;0.147358
8;0.170335
8;0.117219
2;0.160823
2;0.288985
4;0.307520
4;0.359377
6;0.148942
6;0.132079
8;0.130775
8;0.143920
2;0.318558
2;0.304467
4;0.172802
4;0.338463
6;0.134372
6;0.159494
8;0.104612
8;0.131368
2;0.317055
2;0.297239
4;0.308501
4;0.347968
6;0.172798
6;0.189523
8;0.149594
8;0.101791
